	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0091683"	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.30	0.00	0.00
"FBtr0080960"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340177"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071990"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
"FBtr0303210"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0308940"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0308941"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087755"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330735"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330736"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072518"	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073009"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304042"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
"FBtr0089123"	13.47	11.63	11.61	12.81	12.38	12.44	4.31	3.35	3.85	17.32	15.32	16.01	13.94	17.14	12.00
"FBtr0333680"	0.76	0.48	0.39	0.50	0.47	0.86	0.16	0.06	0.16	0.71	1.07	0.64	0.96	0.96	0.79
"FBtr0083234"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083239"	37.08	29.56	29.24	32.50	44.95	41.67	8.27	6.66	7.17	44.53	40.93	43.06	40.43	59.75	48.84
"FBtr0302551"	5.71	8.05	1.44	8.89	0.00	0.00	1.63	0.00	0.00	6.26	7.94	1.20	15.07	3.98	0.00
"FBtr0070052"	78.15	25.53	61.37	3.98	74.98	71.13	8.70	6.02	8.51	46.11	16.88	37.78	27.30	29.02	45.42
"FBtr0082678"	0.06	0.00	0.06	0.00	0.14	0.05	0.00	0.11	0.12	0.10	0.00	0.05	0.00	0.00	0.00
"FBtr0082085"	0.02	62.69	76.53	57.21	50.81	0.07	0.02	0.01	34.50	86.79	0.01	0.00	38.03	50.19	32.22
"FBtr0290249"	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290250"	0.08	0.17	0.08	0.10	0.12	0.00	0.20	0.00	0.08	0.10	0.06	0.12	0.03	0.04	0.03
"FBtr0339973"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078896"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080621"	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.11	0.00	0.00
"FBtr0114462"	0.00	0.00	0.00	0.19	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0114463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.11	0.10	0.00	0.00	0.00
"FBtr0079771"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0110960"	0.00	0.00	0.00	0.00	0.07	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301040"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303888"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330218"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330219"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079737"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079758"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.03	0.00	0.00	0.00
"FBtr0079757"	0.04	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.03
"FBtr0079734"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079735"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079736"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077451"	143.83	112.08	99.76	116.58	102.27	99.30	127.60	143.89	138.94	183.77	192.04	174.52	189.07	174.82	138.84
"FBtr0335135"	3.55	5.43	3.31	2.73	5.91	4.51	4.04	6.71	5.81	4.22	3.49	4.47	4.31	8.31	3.37
"FBtr0345633"	12.53	16.94	13.91	6.41	15.12	13.58	10.70	14.73	13.64	16.65	20.24	16.77	16.48	14.68	19.04
"FBtr0077434"	0.04	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.03	0.14	0.00	0.06
"FBtr0290071"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
"FBtr0332249"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334031"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087135"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0344885"	0.01	0.00	0.00	0.00	0.08	0.00	0.02	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00
