	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0054039"	24.05	37.49	33.28	27.77	27.78	32.53	5.34	9.35	7.56	7.83	10.26	7.95
"FBgn0054040"	0.00	0.26	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0054041"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0054043"	0.13	0.40	1.84	0.00	0.07	0.07	0.70	1.22	1.20	0.32	0.29	0.18
"FBgn0054044"	0.00	0.00	0.08	0.00	0.00	0.07	0.07	0.06	0.06	0.00	0.35	0.12
"FBgn0054045"	0.00	0.00	0.21	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00
"FBgn0054046"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0054047"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.11
"FBgn0054049"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0054051"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0054052"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.29	0.00	0.00	0.86	0.41
"FBgn0054054"	0.77	0.40	0.68	0.00	0.00	0.20	0.00	0.73	0.17	0.19	0.44	1.06
"FBgn0054056"	0.30	0.06	0.36	0.15	0.25	1.12	1.23	1.25	1.01	1.08	1.10	0.94
"FBgn0054057"	0.00	0.13	0.23	0.00	0.14	0.00	0.64	0.25	0.54	0.31	0.61	0.00
"FBgn0058002"	312.25	384.47	368.69	280.02	355.26	321.45	445.15	510.79	501.53	399.94	441.63	431.08
"FBgn0058005"	1.14	1.80	3.59	2.52	1.14	1.27	2.18	1.72	2.37	2.93	2.05	1.88
"FBgn0058006"	40.91	44.41	45.98	12.48	13.87	12.55	32.90	24.83	18.30	10.65	8.46	7.69
"FBgn0058045"	472.82	609.27	617.27	423.62	517.06	458.42	139.65	133.94	138.91	284.60	291.63	234.07
"FBgn0058053"	0.00	0.00	0.00	0.00	0.06	0.00	0.06	0.05	0.00	0.17	0.00	0.05
"FBgn0058064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0058068"	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00
"FBgn0058100"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00
"FBgn0058160"	40.65	48.57	52.03	33.01	44.79	32.51	43.93	40.97	29.06	40.52	32.06	34.57
"FBgn0058172"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0058178"	6.64	7.87	10.11	8.69	10.48	10.18	9.50	10.89	9.41	12.27	11.03	11.75
"FBgn0058182"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0058191"	291.44	340.45	357.62	103.31	113.23	113.36	153.16	131.50	109.12	70.35	65.02	60.99
"FBgn0058198"	0.81	0.44	0.48	0.00	0.00	0.15	1.03	1.29	0.64	0.14	0.04	0.11
"FBgn0058263"	56.29	65.46	79.27	49.15	61.37	58.82	15.07	11.83	8.13	23.84	22.45	19.68
"FBgn0058298"	0.14	0.42	0.57	0.09	0.07	0.21	0.30	0.26	0.24	0.14	0.68	0.76
"FBgn0058354"	0.06	0.11	0.20	0.90	1.20	1.11	0.12	0.00	0.34	1.67	1.57	1.78
"FBgn0058439"	59.84	69.93	83.65	44.25	49.52	49.59	42.23	59.04	44.13	39.95	42.09	46.18
"FBgn0058441"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0058461"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.31	0.35	0.27	0.00
"FBgn0058469"	2.03	6.53	0.00	1106.87	1492.66	1011.47	4.49	2.01	1.90	1842.20	2490.01	1172.56
"FBgn0058470"	0.97	1.02	1.84	0.76	0.87	0.91	1.36	1.14	0.98	0.73	0.74	0.65
"FBgn0060291"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0060292"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0060296"	0.12	0.04	0.40	0.06	0.00	0.51	0.25	0.44	0.29	0.44	0.30	0.59
"FBgn0061188"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0061196"	0.07	0.20	0.16	0.08	0.14	0.21	0.00	0.06	0.00	0.07	0.10	0.06
"FBgn0061197"	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.02	0.02	0.00
"FBgn0061198"	189.04	206.55	212.01	173.48	194.25	185.99	186.80	180.00	173.37	180.73	179.70	168.32
"FBgn0061200"	96.44	68.20	79.19	76.55	61.65	78.57	105.65	87.80	75.94	86.41	72.46	90.94
"FBgn0061209"	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.31	0.35	0.13	0.00
"FBgn0061356"	1.18	1.63	4.63	0.15	0.62	1.04	2.49	3.68	3.54	3.83	7.33	4.06
"FBgn0061359"	71.85	67.10	59.71	63.40	62.41	59.05	24.72	21.58	20.90	39.40	32.98	30.36
"FBgn0061360"	33.65	35.01	37.65	26.97	28.69	29.81	14.60	14.68	14.06	18.53	16.64	15.52
"FBgn0061361"	26.94	26.82	24.78	25.65	22.35	23.60	19.14	14.96	13.76	16.87	14.53	11.75
"FBgn0061362"	26.94	26.82	24.78	25.65	22.35	23.60	19.14	14.96	13.76	16.87	14.53	11.75
"FBgn0061435"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0061469"	68.51	56.13	53.47	49.63	45.28	51.60	78.62	64.37	56.78	51.85	47.18	55.37
"FBgn0061476"	63.42	61.16	56.63	58.24	49.59	58.38	12.32	10.49	7.86	27.95	24.62	23.18
"FBgn0061492"	76.73	87.36	86.61	69.88	76.75	70.04	101.77	96.77	99.26	88.27	86.34	84.76
"FBgn0061515"	631.95	665.64	617.78	583.73	552.00	566.88	61.45	60.32	62.41	152.10	136.38	96.59
"FBgn0062411"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0062412"	0.79	2.24	3.34	0.79	0.46	0.89	7.82	11.34	12.36	0.44	1.74	1.54
"FBgn0062413"	34.14	34.97	29.39	32.34	26.42	30.90	4.13	4.65	5.10	6.33	5.42	6.58
"FBgn0062440"	116.45	119.64	124.93	111.48	120.19	115.55	165.59	175.78	180.34	147.07	159.35	147.26
"FBgn0062442"	249.18	277.66	271.48	267.44	304.49	258.54	330.37	346.72	316.42	297.44	337.37	310.75
"FBgn0062449"	59.32	61.94	59.67	52.96	55.51	50.51	6.55	7.45	7.16	15.07	14.10	10.16
"FBgn0062517"	0.00	0.07	0.00	0.00	0.00	0.00	0.22	0.20	0.85	0.00	0.31	0.25
"FBgn0062565"	0.00	0.28	0.16	0.00	0.00	0.00	0.15	0.13	0.12	0.00	0.05	0.13
"FBgn0062928"	8.19	8.47	3.48	76.24	85.14	72.42	3.56	3.55	3.46	35.80	33.17	26.30
"FBgn0062961"	0.22	0.23	0.51	0.00	0.00	0.69	0.48	0.42	0.00	0.66	0.34	1.41
"FBgn0062978"	1.26	0.78	2.69	1.66	1.81	10.45	6.37	2.46	2.29	12.01	14.24	13.17
"FBgn0063083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063127"	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.19	1.09	0.83	1.00
"FBgn0063261"	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.80	1.35	0.00	0.00	0.00
"FBgn0063298"	0.00	0.00	0.10	0.00	0.00	0.09	0.14	0.16	0.08	0.00	0.20	0.08
"FBgn0063368"	0.15	0.60	0.99	0.00	0.00	0.15	0.00	0.83	0.52	0.00	0.00	0.00
"FBgn0063373"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063374"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
