	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0262544"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262546"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262547"	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262559"	3756.00	4218.00	3536.00	5313.00	5175.00	5234.00	229.00	166.00	243.00	3127.00	3561.00	4025.00	3490.00	3652.00	4396.00
"FBgn0262560"	1075.00	1166.00	1119.00	1456.00	1662.00	1547.00	1556.00	1546.00	1599.00	1313.00	1127.00	1328.00	1341.00	973.00	1790.00
"FBgn0262562"	3.00	5.00	6.00	5.00	10.00	5.00	0.00	4.00	2.00	6.00	0.00	3.00	5.00	3.00	7.00
"FBgn0262563"	0.00	1.00	0.00	2.00	1.00	1.00	2.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	1.00
"FBgn0262564"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262565"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262566"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262567"	55.00	56.00	21.00	75.00	80.00	62.00	12.00	9.00	8.00	67.00	80.00	62.00	97.00	104.00	99.00
"FBgn0262568"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262569"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262570"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
"FBgn0262571"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262572"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262574"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262575"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262576"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262577"	0.00	0.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00
"FBgn0262579"	391.00	744.00	683.00	273.00	448.00	179.00	462.00	213.00	391.00	271.00	170.00	226.00	372.00	592.00	1358.00
"FBgn0262580"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262581"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262582"	1709.00	3719.00	4206.00	1482.00	2017.00	1119.00	2745.00	1827.00	2639.00	1166.00	949.00	1341.00	1461.00	1941.00	4003.00
"FBgn0262583"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
"FBgn0262587"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262588"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262592"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262593"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
