	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0076899"	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0091954"	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	4.00	5.00	7.00	6.00	0.00
"FBtr0302931"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075630"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084473"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
"FBtr0334769"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088463"	2584.00	2658.00	2042.00	2634.00	2726.00	2382.00	2866.00	3717.00	3081.00	3664.00	3429.00	3458.00	3399.00	3029.00	3774.00
"FBtr0088492"	561.00	565.00	439.00	734.00	791.00	691.00	474.00	498.00	408.00	639.00	668.00	763.00	603.00	581.00	801.00
"FBtr0088464"	817.00	860.00	778.00	994.00	1002.00	903.00	542.00	501.00	489.00	1148.00	1024.00	1104.00	1042.00	851.00	1160.00
"FBtr0088380"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
"FBtr0088361"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303450"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088374"	225.76	190.03	144.25	266.24	316.12	300.02	30.97	26.11	20.55	316.78	293.84	319.37	206.87	234.66	241.73
"FBtr0332914"	73.24	100.97	99.75	110.76	105.88	73.98	12.03	10.89	12.45	110.22	108.16	116.63	128.13	107.34	102.27
"FBtr0089758"	105.82	280.97	338.16	101.16	99.46	70.19	388.18	220.28	355.57	65.56	51.86	79.00	94.41	114.41	421.59
