	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0038641"	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
"FBgn0038642"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038643"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038645"	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038646"	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038647"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00
"FBgn0038649"	68.75	71.07	69.51	80.40	80.05	85.68	6.31	2.77	5.88	56.67	57.46	64.91	69.72	74.97	80.35
"FBgn0038651"	1.62	2.93	3.48	2.11	2.20	2.00	0.45	0.31	0.53	1.02	0.85	1.23	1.61	2.03	3.70
"FBgn0038652"	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038653"	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038654"	0.14	0.00	0.00	0.23	0.11	0.00	0.43	0.13	0.14	0.23	0.23	0.00	0.24	0.00	0.00
"FBgn0038655"	0.00	0.00	0.00	0.07	0.20	0.07	0.17	0.00	0.17	0.07	0.07	0.00	0.00	0.00	0.00
"FBgn0038656"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038658"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00
"FBgn0038659"	21.41	27.14	28.95	31.86	32.10	27.45	9.43	5.84	8.36	18.02	17.53	22.24	18.98	21.17	29.86
"FBgn0038660"	0.04	0.15	0.13	0.32	0.07	0.11	0.18	0.08	0.17	0.21	0.07	0.17	0.04	0.00	0.00
"FBgn0038662"	207.93	211.20	199.15	233.54	223.97	221.04	186.69	181.60	190.58	229.83	208.89	234.18	222.98	216.61	221.41
"FBgn0038665"	0.00	0.70	0.53	1.06	0.99	1.07	0.76	0.24	1.46	0.21	0.21	0.39	0.22	0.00	0.40
"FBgn0038666"	21.31	24.63	20.51	35.57	36.89	37.45	40.77	34.37	35.49	27.18	24.44	25.04	28.67	24.46	37.37
"FBgn0038672"	59.93	61.29	60.93	61.40	61.84	60.64	76.70	83.84	80.15	58.02	56.53	56.70	62.92	59.74	71.10
"FBgn0038673"	135.47	137.44	127.32	160.84	165.18	159.87	174.87	194.83	175.26	155.50	165.30	162.10	133.70	125.53	127.25
"FBgn0038674"	0.17	0.16	0.28	0.15	0.21	0.08	0.00	0.00	0.00	0.22	0.15	0.14	0.15	0.24	0.27
"FBgn0038675"	88.47	92.40	96.32	107.88	108.45	100.54	115.15	125.05	114.70	86.15	97.65	81.78	90.57	79.83	98.38
"FBgn0038676"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038678"	124.87	91.37	87.17	117.55	98.54	109.88	97.92	124.13	118.59	135.87	122.95	144.16	142.45	142.56	119.90
"FBgn0038679"	0.01	0.01	0.01	0.01	0.01	0.01	0.07	0.00	0.03	0.01	0.00	0.01	0.01	0.00	0.01
"FBgn0038680"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038681"	7.13	7.94	5.71	0.04	0.00	0.00	1.61	1.68	1.56	8.01	7.08	6.65	8.50	9.16	9.64
"FBgn0038682"	0.60	0.89	0.96	2.81	2.29	2.32	0.64	0.81	0.49	0.45	1.59	0.45	0.16	0.17	0.42
"FBgn0038683"	31.26	36.84	40.16	50.48	49.27	49.40	3.98	2.28	3.40	30.68	28.31	32.81	32.51	38.05	39.32
"FBgn0038685"	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.07	0.00	0.07	0.00	0.00	0.00
"FBgn0038686"	57.02	64.57	64.70	75.62	72.76	69.67	33.05	21.40	29.56	48.63	49.61	58.59	51.20	60.21	61.52
"FBgn0038690"	0.00	0.00	0.07	0.00	0.00	0.00	0.27	0.00	0.07	0.05	0.00	0.05	0.00	0.00	0.00
