	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0088445"	0.00	0.02	0.19	0.00	0.00	0.16	0.87	1.42	1.61	1.47	1.35	1.77
"FBtr0088446"	0.00	0.00	0.00	0.00	0.00	0.04	1.14	1.18	2.33	0.00	0.00	1.97
"FBtr0088447"	0.87	0.34	1.05	0.84	0.34	0.67	0.34	0.18	0.46	0.50	0.35	0.52
"FBtr0330707"	0.34	0.29	0.35	0.22	0.28	0.72	0.06	0.03	0.08	0.22	0.24	0.26
"FBtr0330708"	21.08	17.48	17.36	25.34	21.86	27.23	4.45	2.84	2.35	11.67	9.33	7.01
"FBtr0088790"	33.49	34.86	27.36	27.05	26.22	30.08	7.91	7.89	10.19	10.49	9.96	10.42
"FBtr0331379"	1.36	1.89	1.13	0.57	0.65	0.90	0.00	0.59	0.00	1.63	1.56	0.35
"FBtr0087388"	59.38	59.31	59.99	41.18	40.57	42.09	25.54	19.31	15.23	26.33	21.27	19.43
"FBtr0071269"	47.08	49.88	72.30	48.66	42.95	44.52	5.03	9.03	11.05	28.90	27.02	26.54
"FBtr0071270"	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.11	0.00
"FBtr0071271"	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071272"	1.39	0.00	0.00	11.31	0.35	6.48	3.27	2.96	4.97	10.95	11.59	10.79
"FBtr0071273"	1.36	2.30	1.47	2.49	2.26	3.11	0.69	0.24	0.29	0.64	1.04	0.64
"FBtr0071274"	94.60	77.09	77.75	70.64	101.51	98.07	55.46	36.25	26.37	64.79	51.62	49.54
"FBtr0071275"	69.52	40.19	37.09	65.11	37.84	60.45	16.38	10.14	10.20	29.02	18.70	23.16
"FBtr0071276"	1.38	0.28	0.29	0.96	1.00	1.57	0.00	0.31	0.39	0.42	0.26	0.44
"FBtr0071277"	4.03	1.02	1.03	6.18	1.11	3.57	0.53	0.00	0.44	0.94	0.00	0.52
"FBtr0071278"	72.43	51.86	38.13	59.18	48.47	54.80	24.53	17.54	9.03	22.35	11.93	21.28
"FBtr0308193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24
"FBtr0308194"	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331601"	0.00	0.00	0.00	0.00	0.00	0.59	0.27	0.25	0.00	0.27	0.00	0.00
"FBtr0084881"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.29	0.12
